,Instrument,Company Common Name,ESG Coverage Flag,Region of Headquarters,TRBC Economic Sector Name
111,MAKG.DE,MATERNUS-Kliniken-AG,True,Europe,Healthcare
112,HNKG_p.DE,Henkel AG & Co KGaA,True,Europe,Basic Materials
113,HNDG.F,FRoSTA AG,True,Europe,Consumer Non-Cyclicals
114,HOTG.DE,Hochtief AG,True,Europe,Industrials
115,IURG.DE,Kap AG,True,Europe,Financials
116,SDFGn.DE,K+S AG,True,Europe,Basic Materials
117,AROG.H,Arcandor AG,True,Europe,Consumer Cyclicals
118,KWSG.DE,KWS SAAT SE & Co KgaA,True,Europe,Consumer Non-Cyclicals
119,DEZG.DE,DEUTZ AG,True,Europe,Industrials
120,SKBG.DE,Koenig & Bauer AG,True,Europe,Industrials
121,KSBG.DE,KSB SE & Co KGaA,True,Europe,Industrials
122,LECG.F,Lechwerke AG,True,Europe,Utilities
